"","seed","auth_type","model_type","(Intercept)","fieldNeuro","fieldNeurology","gendermale","affil_lmicTrue","document_typeReview"
"1",1,"fa","rate",-3.63560629465887,0.111623609240774,-0.130596788827322,-0.0258269735837113,-0.127202160653762,-0.0641476330100599
"2",1,"fa","count",0.0459019414047449,0.147111144947559,-0.0930113326307445,-0.00948905102261254,-0.11603360778381,-0.0418213827932311
"3",1,"fa","papers",2.29604429873568,-0.19486289252496,0.0257998712551533,0.2459473401085,0.0712534791946555,0.152005247565635
"4",1,"la","rate",-2.92776229684517,0.185664352021895,-0.0621221422980654,-0.0465798739052536,-0.237492464867244,-0.142675258893664
"5",1,"la","count",0.747708433745424,0.184117237718885,-0.0250705169290572,-0.0329603126811945,-0.241249556951622,-0.139234820202239
"6",1,"la","papers",3.72686176768735,-0.121818369800379,0.0678962910900144,0.248095237678736,0.00962666304319908,-0.0188222672757646
"7",2,"fa","rate",-3.62150470426158,0.0974769647642135,-0.157937494324732,-0.0236043606052834,-0.13210549131913,-0.0670358669832587
"8",2,"fa","count",0.0586569686585032,0.138021565323396,-0.116863139705724,-0.00838350211760659,-0.125857110628738,-0.0547059528583183
"9",2,"fa","papers",2.29377591969141,-0.18709095892647,0.0343873806884559,0.243770245614475,0.0559152989755561,0.14954190561002
"10",2,"la","rate",-2.90798958729138,0.166180002069542,-0.0832035518627168,-0.0447172621316745,-0.249621836175301,-0.170157284124882
"11",2,"la","count",0.76026444980162,0.173242157368933,-0.0407640209244041,-0.0330394008709735,-0.241961580771433,-0.157057911548039
"12",2,"la","papers",3.72120795694752,-0.118822632029902,0.0677873713446439,0.252201299351701,0.0119164008233462,-0.00305192899056885
"13",3,"fa","rate",-3.62951433700311,0.0956425082928194,-0.155763386855647,-0.0204184862055753,-0.129256091927963,-0.0601770677157306
"14",3,"fa","count",0.0545297511321444,0.135115261674385,-0.111964594757143,-0.0122726153417342,-0.117345592941757,-0.039182218394191
"15",3,"fa","papers",2.30044535457954,-0.197720978176206,0.0169160497510575,0.24386039975935,0.0708472980355907,0.153978559917941
"16",3,"la","rate",-2.93903932271874,0.202443196222003,-0.0464696815417775,-0.0427136298469975,-0.233945231048139,-0.157068687232472
"17",3,"la","count",0.732798231635725,0.203246997839544,-0.00633729692908841,-0.0291348595918808,-0.225030674273264,-0.148512653449202
"18",3,"la","papers",3.72021078718131,-0.113134100447257,0.0661566043602645,0.252736122310491,0.00436205388359674,-0.0115059622553681
"19",4,"fa","rate",-3.62909358885015,0.103463723136366,-0.150197645109746,-0.0272320715791118,-0.131055450320841,-0.0718239229945311
"20",4,"fa","count",0.0538755392675471,0.145846403289757,-0.109675000804849,-0.0142906156553062,-0.120009811261827,-0.0627249547456907
"21",4,"fa","papers",2.29617162231963,-0.196572157632997,0.024664560412586,0.242509624267355,0.0644090792886065,0.158880255611178
"22",4,"la","rate",-2.92104629026869,0.182024796341945,-0.0559469355520528,-0.0553730555780192,-0.220467032253978,-0.154733698981993
"23",4,"la","count",0.743596806777372,0.185453814789696,-0.0104512856701688,-0.0392932665941477,-0.22406444575695,-0.150706385154685
"24",4,"la","papers",3.72567948148268,-0.118251033106732,0.0664553416454783,0.245945054628946,0.00592650882135888,-0.00483502575769868
"25",5,"fa","rate",-3.63021111432333,0.101686735903979,-0.146577199337283,-0.020564711595211,-0.134504252523053,-0.0700033716911012
"26",5,"fa","count",0.0518599501867489,0.141292695891602,-0.105611025071801,-0.00702098996127141,-0.120312758411599,-0.0521641470859821
"27",5,"fa","papers",2.29617803226738,-0.189572264249857,0.0245562514703607,0.245165299163081,0.0561005142730304,0.153391991948571
"28",5,"la","rate",-2.9316249942702,0.188875959340931,-0.0501768015802912,-0.0483089286217639,-0.27091136966351,-0.13832213417309
"29",5,"la","count",0.743510340637952,0.187784599313461,-0.0148801542211166,-0.0336856832813766,-0.26763208596259,-0.135205290129391
"30",5,"la","papers",3.72232462012563,-0.121007834050819,0.0743795346438818,0.24808519875737,0.00891915113515348,-0.00853646433026438
"31",6,"fa","rate",-3.63418643451381,0.107392698837237,-0.140507066209349,-0.0238986207887607,-0.134776642072435,-0.0607950269889184
"32",6,"fa","count",0.049865796639267,0.14433138062975,-0.100883444853264,-0.00885680506634371,-0.113190542411447,-0.0492014879635772
"33",6,"fa","papers",2.2971595870641,-0.190895307233675,0.0254877412389835,0.245436171598782,0.0805329222944875,0.149359488117185
"34",6,"la","rate",-2.91683703741186,0.18515372318459,-0.0595167619633301,-0.0525696036071568,-0.247384150686007,-0.157700921685788
"35",6,"la","count",0.762854266795404,0.178351173180826,-0.0280024143591269,-0.0439284570490109,-0.240387646995983,-0.14418471042176
"36",6,"la","papers",3.71907320097767,-0.113583937998532,0.0703900634546051,0.249817612133855,0.0095275897880518,-0.00902364404359885
"37",7,"fa","rate",-3.62339117044232,0.10405476773014,-0.1555719499343,-0.0307698534975904,-0.139802043707317,-0.0597533172484417
"38",7,"fa","count",0.0618055425615603,0.139878938425711,-0.113724295119947,-0.018752457231321,-0.13077825239815,-0.045048839209471
